Task	Question	qwen2.5:32b	multi-agent(32b+32b)
sequence gene alias	Q50	86.152	86.87
Disease gene location	Q1	49.579	40.63
Disease gene location	Q2	46.161	53.42
Disease gene location	Q3	46.217	30.67
Disease gene location	Q4	45.613	34.72
Disease gene location	Q5	44.839	31.5
Disease gene location	Q6	46.071	12.25
Disease gene location	Q7	47.373	52.38
Disease gene location	Q8	44.45	43.4
Disease gene location	Q9	48.196	55.22
Disease gene location	Q10	62.842	108.35
Disease gene location	Q11	50.491	62.1
Disease gene location	Q12	46.356	36.82
Disease gene location	Q13	49.553	35.07
Disease gene location	Q14	49.319	45.29
Disease gene location	Q15	47.349	28.47
Disease gene location	Q16	63.521	30.65
Disease gene location	Q17	46.364	27.81
Disease gene location	Q18	48.646	50.07
Disease gene location	Q19	44.638	24.07
Disease gene location	Q20	43.935	55.81
Disease gene location	Q21	44.846	43.01
Disease gene location	Q22	48.452	50.84
Disease gene location	Q23	45.91	32.73
Disease gene location	Q24	43.827	27.98
Disease gene location	Q25	44.996	40.02
Disease gene location	Q26	47.645	43.71
Disease gene location	Q27	59.151	33.09
Disease gene location	Q28	43.847	48.87
Disease gene location	Q29	46.872	44.87
Disease gene location	Q30	44.163	30.65
Disease gene location	Q31	44.421	37.51
Disease gene location	Q32	44.531	47.5
Disease gene location	Q33	47.033	51.56
Disease gene location	Q34	46.671	29.41
Disease gene location	Q35	45.712	57.85
Disease gene location	Q36	63.085	35.74
Disease gene location	Q37	57.668	35.91
Disease gene location	Q38	47.804	37.14
Disease gene location	Q39	29.879	51.11
Disease gene location	Q40	44.268	52.17
Disease gene location	Q41	43.208	50.9
Disease gene location	Q42	43.703	20.63
Disease gene location	Q43	47.854	19.75
Disease gene location	Q44	47.252	75.26
Disease gene location	Q45	44.35	34
Disease gene location	Q46	47.114	49.34
Disease gene location	Q47	46.103	49.48
Disease gene location	Q48	46.534	44.23
Disease gene location	Q49	48.331	27.29
Disease gene location	Q50	45.335	36.09
SNP gene function	Q1	129.575	15.53
SNP gene function	Q2	131.485	68.96
SNP gene function	Q3	131.045	52.56
SNP gene function	Q4	130.327	15.92
SNP gene function	Q5	131.177	29.44
SNP gene function	Q6	127.957	15.45
SNP gene function	Q7	125.826	65.45
SNP gene function	Q8	100.052	31.78
SNP gene function	Q9	129.032	15.46
SNP gene function	Q10	211.385	48.74
SNP gene function	Q11	126.792	15.38
SNP gene function	Q12	127.327	15.41
SNP gene function	Q13	98.242	18.9
SNP gene function	Q14	108.788	29.77
SNP gene function	Q15	135.987	28.85
SNP gene function	Q16	129.682	58.87
SNP gene function	Q17	128.765	15.94
SNP gene function	Q18	133.263	67.69
SNP gene function	Q19	87.558	69.71
SNP gene function	Q20	130.826	48.73
SNP gene function	Q21	128.766	46.65
SNP gene function	Q22	129.234	16.01
SNP gene function	Q23	129.299	15.67
SNP gene function	Q24	126.94	33.21
SNP gene function	Q25	129.788	16.44
SNP gene function	Q26	126.873	42.63
SNP gene function	Q27	129.709	30.45
SNP gene function	Q28	131.194	46.82
SNP gene function	Q29	128.861	56.86
SNP gene function	Q30	130.781	31.98
SNP gene function	Q31	309.121	15.38
SNP gene function	Q32	123.39	15.4
SNP gene function	Q33	128.678	31.73
SNP gene function	Q34	129.687	15.34
SNP gene function	Q35	134.207	58.95
SNP gene function	Q36	131.22	65.11
SNP gene function	Q37	132.198	16.13
SNP gene function	Q38	129.174	28.51
SNP gene function	Q39	129.898	52.6
SNP gene function	Q40	130.083	27.59
SNP gene function	Q41	135.91	52.54
SNP gene function	Q42	79.413	73.3
SNP gene function	Q43	127.673	68.29
SNP gene function	Q44	128.474	28.64
SNP gene function	Q45	134.779	15.54
SNP gene function	Q46	128.685	66.79
SNP gene function	Q47	128.162	31.94
SNP gene function	Q48	129.45	16.65
SNP gene function	Q49	133.571	14.94
SNP gene function	Q50	132.31	66.21
